place_name,menu_name,menu_price
몽소,통밀빵,-
몽소,무화과깜빠뉴,-
몽소,꿀빵,-
몽소,해남고구마맛탕빵,-
몽소,아메리카노 hot,-
몽소,카페라떼 hot,-
몽소,바닐라라떼 hot,-
몽소,카푸치노 hot,-
몽소,카라멜라떼 hot,-
몽소,아메리카노 ice,-
몽소,카페라떼 ice,-
네코노스시 숙대점,네코스시,-
네코노스시 숙대점,모듬초밥,-
네코노스시 숙대점,치킨가라아게,-
네코노스시 숙대점,활어초밥,-
네코노스시 숙대점,연어초밥,-
네코노스시 숙대점,네코스시,-
네코노스시 숙대점,모듬초밥,-
네코노스시 숙대점,치킨가라아게,-
네코노스시 숙대점,활어초밥,-
네코노스시 숙대점,연어초밥,-
네코노스시 숙대점,카라동,-
네코노스시 숙대점,연어동,-
네코노스시 숙대점,네코동,-
네코노스시 숙대점,칠성사이다제로,-
네코노스시 숙대점,펩시,-
네코노스시 숙대점,펩시제로라임,-
포라임 숙대점,차돌양지쌀국수+에그롤1+고구마롤2,-
포라임 숙대점,차돌양지쌀국수+가라아게2+고구마롤1,-
포라임 숙대점,차돌양지쌀국수+짜조2+고구마롤1,-
포라임 숙대점,차돌양지쌀국수+스프링롤2+고구마롤1,-
포라임 숙대점,차돌양지쌀국수+직화불고기덮밥,-
포라임 숙대점,차돌양지쌀국수+꿔이1+연유,-
포라임 숙대점,차돌양지쌀국수+돈까스(1/2)세트,-
포라임 숙대점,직화불고기덮밥+쌀국수 2인 세트,-
포라임 숙대점,파인애플새우볶음밥+쌀국수 2인 세트,-
포라임 숙대점,노미트 쌀국수,-
포라임 숙대점,(담백)양지쌀국수,-
포라임 숙대점,(숙취해소)얼큰소고기쌀국수,-
포라임 숙대점,(보양)차돌양지쌀국수,-
포라임 숙대점,(불맛)직화불고기쌀국수,-
포라임 숙대점,(쫄깃)곱창힘줄쌀국수,-
라리에또 숙대점,리코타샐러드,-
라리에또 숙대점,아라비아따 펜네,-
라리에또 숙대점,토마토 조개 스파게티,-
라리에또 숙대점,마일드 토마토 새우 스파게티,-
라리에또 숙대점,치킨 토마토 스파게티,-
라리에또 숙대점,토마토 크림치즈 펜네,-
육쌈냉면 숙대점,냉면+숯불고기,-
육쌈냉면 숙대점,비빔밥+숯불고기,-
육쌈냉면 숙대점,된장찌개,-
육쌈냉면 숙대점,김치찌개+숯불고기,-
육쌈냉면 숙대점,고기추가,-
육쌈냉면 숙대점,고기만두,-
리또리또,브리또,-
숙대소반,쫄면순두부 + 돈가스,-
숙대소반,쫄면순두부 + 치즈알밥,-
숙대소반,굴순두부(동절기변동메뉴),-
숙대소반,뚝제육,-
숙대소반,뚝불고기,-
숙대소반,쫄순이,-
숙대소반,부대찌개,-
숙대소반,김치치즈밥,-
숙대소반,정식,-
숙대소반,돈가스,-
숙대소반,함 박,-
숙대소반,치즈알밥,-
숙대소반,냉면,-
숙대소반,비 냉,-
숙대소반,돈가스or함박 순두부,-
한끼마끼 숙대점,반끼베스트세트,-
한끼마끼 숙대점,살몬아보카도,-
한끼마끼 숙대점,유부베스트세트,-
한끼마끼 숙대점,살몬러버유부세트,-
